City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sulphur,30.2366,-93.3774,66.18,80,75,12.66,US,1711157199
1,enewetak,11.3474,162.3373,81.97,78,0,12.82,MH,1711157199
2,dickinson,29.4608,-95.0513,69.04,71,75,14.0,US,1711157255
3,waitangi,-43.9535,-176.5597,59.83,83,100,4.0,NZ,1711157385
4,itoman,26.1247,127.6694,73.78,70,75,20.71,JP,1711157385
5,anadyr,64.75,177.4833,0.1,77,40,13.42,RU,1711157200
6,aleg,17.0481,-13.9209,73.58,25,5,15.48,MR,1711157385
7,chibougamau,49.9168,-74.3659,-2.58,60,0,2.3,CA,1711157201
8,adamstown,-25.066,-130.1015,77.5,73,79,10.87,PN,1711157201
9,afaahiti,-17.75,-149.2833,84.07,66,51,1.61,PF,1711157201
10,bethel,41.3712,-73.414,37.76,56,100,6.91,US,1711157364
11,usogorsk,63.4106,48.6872,22.66,98,100,2.93,RU,1711157387
12,port-aux-francais,-49.35,70.2167,39.45,95,91,21.61,TF,1711157202
13,georgetown,5.4112,100.3354,85.93,74,20,3.44,MY,1711157337
14,hinton,53.4001,-117.5857,23.92,86,100,6.93,CA,1711157202
15,nemuro,43.3236,145.575,32.58,75,13,6.91,JP,1711157388
16,kingston,17.997,-76.7936,85.15,67,20,13.8,JM,1711157224
17,vorgashor,67.5833,63.95,-19.55,98,26,5.79,RU,1711157388
18,bilibino,68.0546,166.4372,-9.31,89,96,3.15,RU,1711157203
19,constantia,44.1833,28.65,36.7,67,5,4.7,RO,1711157389
20,udachny,66.4167,112.4,-12.5,85,29,8.28,RU,1711157204
21,fuglafjordur,62.244,-6.814,41.47,84,96,30.49,FO,1711157204
22,kapa'a,22.0752,-159.319,82.38,69,75,17.27,US,1711157389
23,grytviken,-54.2811,-36.5092,30.6,90,100,6.13,GS,1711157209
24,axim,4.8699,-2.2405,79.57,85,100,9.51,GH,1711157390
25,puerto natales,-51.7236,-72.4875,43.79,91,100,2.08,CL,1711157205
26,hope mills,34.9704,-78.9453,61.38,92,100,13.8,US,1711157390
27,jiangzi,28.95,89.6333,24.4,65,10,5.03,CN,1711157206
28,victorica,-36.2151,-65.4359,64.06,52,0,22.1,AR,1711157206
29,college,64.8569,-147.8028,48.15,34,75,0.0,US,1711157202
30,susuman,62.7833,148.1667,-2.02,88,42,3.0,RU,1711157206
31,tiksi,71.6872,128.8694,-11.87,96,100,1.25,RU,1711157207
32,sarandi grande,-33.7333,-56.3333,55.49,82,0,7.27,UY,1711157392
33,yeraliyev,43.2,51.65,45.66,80,100,12.97,KZ,1711157208
34,ribeira grande,38.5167,-28.7,61.77,87,95,10.0,PT,1711157208
35,egilsstadir,65.2653,-14.3948,35.51,87,100,28.77,IS,1711157393
36,grand-lahou,5.1367,-5.0242,81.09,86,100,6.62,CI,1711157208
37,blackmans bay,-43.0167,147.3167,62.73,53,5,1.01,AU,1711157209
38,zelenoborskiy,66.845,32.3622,15.06,92,100,11.83,RU,1711157394
39,uturoa,-16.7333,-151.4333,83.21,70,26,7.81,PF,1711157394
40,olonkinbyen,70.9221,-8.7187,29.59,73,36,25.34,SJ,1711157395
41,sosnovo-ozerskoye,52.5249,111.5418,10.22,64,0,10.0,RU,1711157210
42,smigiel,52.0134,16.527,49.51,86,100,7.2,PL,1711157210
43,viedma,-40.8135,-62.9967,65.41,57,100,20.49,AR,1711157154
44,deqen,29.9618,90.7188,34.27,67,85,2.66,CN,1711157396
45,funafuti,-8.5243,179.1942,91.4,70,75,4.61,TV,1711157211
46,umm kaddadah,13.6017,26.6876,73.18,11,67,13.94,SD,1711157211
47,qaqortoq,60.7167,-46.0333,27.79,66,100,14.43,GL,1711157211
48,okhotsk,59.3833,143.3,23.88,81,100,4.81,RU,1711157212
49,benisheikh,11.8072,12.4909,79.81,11,100,11.05,NG,1711157397
50,lebu,-37.6167,-73.65,59.02,91,100,9.17,CL,1711157397
51,albany,42.6001,-73.9662,30.51,50,98,2.15,US,1711157253
52,almansa,38.8692,-1.0971,51.98,51,100,1.97,ES,1711157398
53,benguela,-12.5763,13.4055,80.46,82,100,3.38,AO,1711157398
54,hluti,-27.2167,31.6167,65.91,94,100,0.72,SZ,1711157213
55,xilin hot,43.9667,116.0333,42.93,25,100,3.49,CN,1711157213
56,flying fish cove,-10.4217,105.6791,80.28,89,75,8.05,CX,1711157399
57,kone,-21.0595,164.8658,83.32,64,81,4.38,NC,1711157214
58,hawaiian paradise park,19.5933,-154.9731,75.87,77,75,12.66,US,1711157214
59,trenggalek,-8.05,111.7167,81.27,82,97,2.46,ID,1711157399
60,laojunmiao,39.8333,97.7333,39.31,58,100,1.21,CN,1711157400
61,kurkino,53.4257,38.6582,26.56,89,100,9.62,RU,1711157215
62,chegdomyn,51.1167,133.0167,24.55,78,63,2.39,RU,1711157215
63,san patricio,28.017,-97.5169,78.75,62,0,9.64,US,1711157216
64,isafjordur,66.0755,-23.124,28.69,93,100,14.07,IS,1711157401
65,hermanus,-34.4187,19.2345,61.81,88,100,4.85,ZA,1711157401
66,alofi,-19.0595,-169.9187,84.09,79,66,5.75,NU,1711157216
67,penha,-26.7694,-48.6458,73.27,56,0,10.36,BR,1711157209
68,as sulayyil,20.4607,45.5779,71.85,53,54,2.82,SA,1711157217
69,buulobarde,3.8538,45.5674,75.54,77,25,9.26,SO,1711157217
70,kikwit,-5.041,18.8162,70.74,96,100,3.69,CD,1711157403
71,sao jose da coroa grande,-8.8978,-35.1478,80.71,76,3,7.18,BR,1711157403
72,klyuchi,52.2667,79.1667,22.68,90,57,8.93,RU,1711157403
73,ushuaia,-54.8,-68.3,44.26,81,40,3.44,AR,1711157113
74,pesaro,43.9036,12.8903,57.07,87,92,5.97,IT,1711157404
75,concepcion,-36.827,-73.0498,60.6,88,0,4.61,CL,1711157261
76,port mathurin,-19.6833,63.4167,79.32,82,24,17.45,MU,1711157219
77,lepsy,46.235,78.9456,30.99,52,36,3.4,KZ,1711157405
78,papatowai,-46.5619,169.4708,61.72,59,100,10.74,NZ,1711157405
79,queenstown,-31.8976,26.8753,64.45,52,38,2.8,ZA,1711157406
80,abu jibeha,11.4562,31.2285,82.71,10,66,7.09,SD,1711157406
81,chonchi,-42.6128,-73.8092,58.21,99,100,5.32,CL,1711157220
82,west island,-12.1568,96.8225,82.38,78,40,3.44,CC,1711157406
83,stanley,54.868,-1.6985,39.27,78,20,20.71,GB,1711157221
84,rawai,7.7797,98.3253,84.31,77,11,13.53,TH,1711157407
85,medina,24.4686,39.6142,68.43,17,0,5.75,SA,1711157221
86,vernon,50.2581,-119.2691,52.75,60,100,1.14,CA,1711157142
87,vila velha,-20.3297,-40.2925,81.95,87,75,0.0,BR,1711157408
88,sitka,57.0531,-135.33,48.09,66,40,0.0,US,1711157222
89,wailua homesteads,22.0669,-159.378,81.03,70,75,17.27,US,1711157222
90,puerto ayora,-0.7393,-90.3518,81.55,94,24,5.01,EC,1711157409
91,castlegar,49.2998,-117.6689,54.99,71,100,2.46,CA,1711157223
92,iqaluit,63.7506,-68.5145,2.93,72,40,4.61,CA,1711157223
93,yauya,-8.9833,-77.3,54.01,82,100,2.42,PE,1711157410
94,avarua,-21.2078,-159.775,86.05,79,100,4.61,CK,1711157116
95,vorkuta,67.5,64.0,-18.76,98,37,5.88,RU,1711157410
96,port lincoln,-34.7333,135.8667,65.46,64,18,18.25,AU,1711157411
97,birao,10.2849,22.7882,77.56,12,91,5.99,CF,1711157225
98,edinburgh of the seven seas,-37.0676,-12.3116,67.01,85,100,34.07,SH,1711157411
99,bodaybo,57.8506,114.1933,-1.32,90,100,1.03,RU,1711157225
100,new norfolk,-42.7826,147.0587,63.91,33,3,5.3,AU,1711157412
101,kapuskasing,49.4169,-82.4331,23.0,68,100,10.36,CA,1711157282
102,ust'-ilimsk,58.0006,102.6619,-2.56,95,78,3.0,RU,1711157412
103,kavieng,-2.5744,150.7967,84.56,72,1,2.39,PG,1711157226
104,ust-nera,64.5667,143.2,18.46,91,100,6.58,RU,1711157226
105,callao,-12.0667,-77.15,81.72,73,20,11.5,PE,1711157413
106,mossel bay,-34.1831,22.146,67.93,88,100,5.75,ZA,1711157413
107,longyearbyen,78.2186,15.6401,-4.16,59,0,10.36,SJ,1711157227
108,asbe teferi,9.0833,40.8667,64.63,50,91,3.83,ET,1711157228
109,puerto baquerizo moreno,-0.9,-89.6,81.07,84,84,7.11,EC,1711157407
110,lupane,-18.9315,27.807,57.79,63,0,5.75,ZW,1711157228
111,brainerd,46.358,-94.2008,26.89,37,0,8.05,US,1711157228
112,mhamid,29.82,-5.72,62.15,24,0,4.63,MA,1711157229
113,siwa oasis,29.2041,25.5195,57.33,60,3,7.43,EG,1711157415
114,whitehorse,60.7161,-135.0538,45.37,39,75,10.36,CA,1711157229
115,margaret river,-33.95,115.0667,68.59,48,0,12.06,AU,1711157416
116,cadale,2.7603,46.3222,80.38,74,46,13.18,SO,1711157416
117,devils lake,48.1128,-98.8651,22.98,44,0,11.5,US,1711157273
118,rabaul,-4.1967,152.1721,83.34,75,7,4.32,PG,1711157231
119,chernyshevskiy,63.0128,112.4714,-8.81,95,93,4.05,RU,1711157231
120,alice springs,-23.7,133.8833,62.15,99,75,9.22,AU,1711157231
121,ilulissat,69.2167,-51.1,3.22,66,5,0.0,GL,1711157231
122,muisne,0.6,-80.0333,78.76,88,100,4.56,EC,1711157232
123,ghanzi,-21.5667,21.7833,67.59,50,2,5.59,BW,1711157232
124,alesund,62.4723,6.1549,43.32,76,100,10.36,NO,1711157423
125,tolanaro,-25.0319,46.9987,73.6,89,100,12.3,MG,1711157233
126,st. john's,47.5649,-52.7093,31.96,83,100,28.77,CA,1711157325
127,shingu,33.7333,135.9833,54.68,93,100,6.91,JP,1711157428
128,stawell,-37.05,142.7667,63.73,53,27,13.8,AU,1711157233
129,fort bragg,35.139,-79.006,60.82,92,100,10.36,US,1711157429
130,kyabe,9.4515,18.9449,88.0,14,100,1.92,TD,1711157429
131,mont-tremblant,46.1949,-74.6264,15.37,57,100,1.14,CA,1711157398
132,shakawe,-18.3667,21.85,66.24,54,31,4.23,BW,1711157234
133,mariental,-24.6333,17.9667,76.77,46,89,3.78,NA,1711157430
134,jamestown,42.097,-79.2353,32.52,94,100,4.61,US,1711157343
135,invercargill,-46.4,168.35,64.02,61,65,7.0,NZ,1711157248
136,ostersund,63.1792,14.6357,30.65,100,74,2.3,SE,1711157425
137,amboise,47.4125,0.9827,45.27,84,0,8.05,FR,1711157185
138,nova vicosa,-17.8919,-39.3719,80.44,83,100,9.69,BR,1711157236
